Text,Language
 Nature in the broadest sense is the natural physical material world or universe,en
Nature can refer to the phenomena of the physical world and also to life in general,en
The study of nature is a large if not the only part of science,en
Although humans are part of nature human activity is often understood as a separate category from other natural phenomena,en
 The word nature is borrowed from the Old French nature and is derived from the Latin word natura or essential qualities innate disposition and in ancient times literally meant birth,en
 In ancient philosophy natura is mostly used as the Latin translation of the Greek word physis (φύσις) which originally related to the intrinsic characteristics that plants animals and other features of the world develop of their own accord,en
" 
The concept of nature as a whole the physical universe is one of several expansions of the original notion it began with certain core applications of the word φύσις by preSocratic philosophers (though this word had a dynamic dimension then especially for Heraclitus) and has steadily gained currency ever since",en
During the advent of modern scientific method in the last several centuries nature became the passive reality organized and moved by divine laws,en
 With the Industrial revolution nature increasingly became seen as the part of reality deprived from intentional intervention  it was hence considered as sacred by some traditions (Rousseau American transcendentalism) or a mere decorum for divine providence or human history (Hegel Marx),en
However a vitalist vision of nature closer to the presocratic one got reborn at the same time especially after Charles Darwin,en
 Within the various uses of the word today nature often refers to geology and wildlife,en
Nature can refer to the general realm of living plants and animals and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord such as the weather and geology of the Earth,en
It is often taken to mean the natural environment or wilderness—wild animals rocks forest and in general those things that have not been substantially altered by human intervention or which persist despite human intervention,en
For example manufactured objects and human interaction generally are not considered part of nature unless qualified as for example human nature or the whole of nature,en
This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial with the artificial being understood as that which has been brought into being by a human consciousness or a human mind,en
Depending on the particular context the term natural might also be distinguished from the unnatural or the supernatural,en
 Earth is the only planet known to support life and its natural features are the subject of many fields of scientific research,en
Within the solar system it is third closest to the sun it is the largest terrestrial planet and the fifth largest overall,en
Its most prominent climatic features are its two large polar regions two relatively narrow temperate zones and a wide equatorial tropical to subtropical region,en
 Precipitation varies widely with location from several metres of water per year to less than a millimetre,en
 percent of the Earth's surface is covered by saltwater oceans,en
The remainder consists of continents and islands with most of the inhabited land in the Northern Hemisphere,en
Earth has evolved through geological and biological processes that have left traces of the original conditions,en
The outer surface is divided into several gradually migrating tectonic plates,en
The interior remains active with a thick layer of plastic mantle and an ironfilled core that generates a magnetic field,en
This iron core is composed of a solid inner phase and a fluid outer phase,en
Convective motion in the core generates electric currents through dynamo action and these in turn generate the geomagnetic field,en
The atmospheric conditions have been significantly altered from the original conditions by the presence of lifeforms which create an ecological balance that stabilizes the surface conditions,en
Despite the wide regional variations in climate by latitude and other geographic factors the longterm average global climate is quite stable during interglacial periods and variations of a degree or two of average global temperature have historically had major effects on the ecological balance and on the actual geography of the Earth,en
 Geology is the science and study of the solid and liquid matter that constitutes the earth,en
The field of geology encompasses the study of the composition structure physical properties dynamics and history of Earth materials and the processes by which they are formed moved and changed,en
The field is a major academic discipline and is also important for mineral and hydrocarbon extraction knowledge about and mitigation of natural hazards some Geotechnical engineering fields and understanding past climates and environments,en
The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations,en
Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock,en
Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock or when as volcanic material such as volcanic ash or lava flows blanket the surface,en
Igneous intrusions such as batholiths laccoliths dikes and sills push upwards into the overlying rock and crystallize as they intrude,en
After the initial sequence of rocks has been deposited the rock units can be deformed andor metamorphosed,en
Deformation typically occurs as a result of horizontal shortening horizontal extension or sidetoside (strikeslip) motion,en
These structural regimes broadly relate to convergent boundaries divergent boundaries and transform boundaries respectively between tectonic plates,en
Earth is estimated to have formed  billion years ago from the solar nebula along with the Sun and other planets,en
 The moon formed roughly  million years later,en
Initially molten the outer layer of the Earth cooled resulting in the solid crust,en
Outgassing and volcanic activity produced the primordial atmosphere,en
Condensing water vapor most or all of which came from ice delivered by comets produced the oceans and other water sources,en
 The highly energetic chemistry is believed to have produced a selfreplicating molecule around  billion years ago,en
 Continents formed then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years occasionally combining to make a supercontinent,en
Roughly  million years ago the earliest known supercontinent Rodinia began to break apart,en
The continents later recombined to form Pannotia which broke apart about  million years ago then finally Pangaea which broke apart about  million years ago,en
 During the Neoproterozoic era freezing temperatures covered much of the Earth in glaciers and ice sheets,en
This hypothesis has been termed the Snowball Earth and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about – million years ago,en
 Since the Cambrian explosion there have been five distinctly identifiable mass extinctions,en
 The last mass extinction occurred some  million years ago when a meteorite collision probably triggered the extinction of the nonavian dinosaurs and other large reptiles but spared small animals such as mammals,en
Over the past  million years mammalian life diversified,en
 Several million years ago a species of small African ape gained the ability to stand upright,en
 The subsequent advent of human life and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form affecting both the nature and quantity of other organisms as well as global climate,en
By comparison the Great Oxygenation Event produced by the proliferation of algae during the Siderian period required about  million years to culminate,en
The present era is classified as part of a mass extinction event the Holocene extinction event the fastest ever to have occurred,en
 Some such as E O Wilson of Harvard University predict that human destruction of the biosphere could cause the extinction of onehalf of all species in the next  years,en
 The extent of the current extinction event is still being researched debated and calculated by biologists,en
 The Earth's atmosphere is a key factor in sustaining the ecosystem,en
The thin layer of gases that envelops the Earth is held in place by gravity,en
Air is mostly nitrogen oxygen water vapor with much smaller amounts of carbon dioxide argon etc,en
The atmospheric pressure declines steadily with altitude,en
The ozone layer plays an important role in depleting the amount of ultraviolet (UV) radiation that reaches the surface,en
As DNA is readily damaged by UV light this serves to protect life at the surface,en
The atmosphere also retains heat during the night thereby reducing the daily temperature extremes,en
Terrestrial weather occurs almost exclusively in the lower part of the atmosphere and serves as a convective system for redistributing heat,en
 Ocean currents are another important factor in determining climate particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions,en
These currents help to moderate the differences in temperature between winter and summer in the temperate zones,en
Also without the redistributions of heat energy by the ocean currents and atmosphere the tropics would be much hotter and the polar regions much colder,en
Weather can have both beneficial and harmful effects,en
Extremes in weather such as tornadoes or hurricanes and cyclones can expend large amounts of energy along their paths and produce devastation,en
Surface vegetation has evolved a dependence on the seasonal variation of the weather and sudden changes lasting only a few years can have a dramatic effect both on the vegetation and on the animals which depend on its growth for their food,en
Climate is a measure of the longterm trends in the weather,en
Various factors are known to influence the climate including ocean currents surface albedo greenhouse gases variations in the solar luminosity and changes to the Earth's orbit,en
Based on historical records the Earth is known to have undergone drastic climate changes in the past including ice ages,en
The climate of a region depends on a number of factors especially latitude,en
A latitudinal band of the surface with similar climatic attributes forms a climate region,en
There are a number of such regions ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes,en
Weather is also influenced by the seasons which result from the Earth's axis being tilted relative to its orbital plane,en
Thus at any given time during the summer or winter one part of the Earth is more directly exposed to the rays of the sun,en
This exposure alternates as the Earth revolves in its orbit,en
At any given time regardless of season the northern and southern hemispheres experience opposite seasons,en
Weather is a chaotic system that is readily modified by small changes to the environment so accurate weather forecasting is limited to only a few days,en
 Overall two things are happening worldwide () temperature is increasing on the average and () regional climates have been undergoing noticeable changes,en
 Water is a chemical substance that is composed of hydrogen and oxygen (HO) and is vital for all known forms of life,en
 In typical usage water refers only to its liquid form or state but the substance also has a solid state ice and a gaseous state water vapor or steam,en
Water covers  of the Earth's surface,en
 On Earth it is found mostly in oceans and other large bodies of water with  of water below ground in aquifers and  in the air as vapor clouds and precipitation,en
 Oceans hold  of surface water glaciers and polar ice caps  and other land surface water such as rivers lakes and ponds ,en
Additionally a minute amount of the Earth's water is contained within biological bodies and manufactured products,en
An ocean is a major body of saline water and a principal component of the hydrosphere,en
Approximately  of the Earth's surface (an area of some  million square kilometers) is covered by ocean a continuous body of water that is customarily divided into several principal oceans and smaller seas,en
More than half of this area is over  meters ( feet) deep,en
Average oceanic salinity is around  parts per thousand (ppt) () and nearly all seawater has a salinity in the range of  to  ppt,en
Though generally recognized as several 'separate' oceans these waters comprise one global interconnected body of salt water often referred to as the World Ocean or global ocean,en
 This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography,en
 The major oceanic divisions are defined in part by the continents various archipelagos and other criteria these divisions are (in descending order of size) the Pacific Ocean the Atlantic Ocean the Indian Ocean the Southern Ocean and the Arctic Ocean,en
Smaller regions of the oceans are called seas gulfs bays and other names,en
There are also salt lakes which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean,en
Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake,en
A lake (from Latin word lacus) is a terrain feature (or physical feature) a body of liquid on the surface of a world that is localized to the bottom of basin (another type of landform or terrain feature that is it is not global) and moves slowly if it moves at all,en
On Earth a body of water is considered a lake when it is inland not part of the ocean is larger and deeper than a pond and is fed by a river,en
 The only world other than Earth known to harbor lakes is Titan Saturn's largest moon which has lakes of ethane most likely mixed with methane,en
It is not known if Titan's lakes are fed by rivers though Titan's surface is carved by numerous river beds,en
Natural lakes on Earth are generally found in mountainous areas rift zones and areas with ongoing or recent glaciation,en
Other lakes are found in endorheic basins or along the courses of mature rivers,en
In some parts of the world there are many lakes because of chaotic drainage patterns left over from the last Ice Age,en
All lakes are temporary over geologic time scales as they will slowly fill in with sediments or spill out of the basin containing them,en
A pond is a body of standing water either natural or manmade that is usually smaller than a lake,en
A wide variety of manmade bodies of water are classified as ponds including water gardens designed for aesthetic ornamentation fish ponds designed for commercial fish breeding and solar ponds designed to store thermal energy,en
Ponds and lakes are distinguished from streams via current speed,en
While currents in streams are easily observed ponds and lakes possess thermally driven microcurrents and moderate wind driven currents,en
These features distinguish a pond from many other aquatic terrain features such as stream pools and tide pools,en
A river is a natural watercourse usually freshwater flowing towards an ocean a lake a sea or another river,en
In a few cases a river simply flows into the ground or dries up completely before reaching another body of water,en
Small rivers may also be called by several other names including stream creek brook rivulet and rill there is no general rule that defines what can be called a river,en
Many names for small rivers are specific to geographic location one example is Burn in Scotland and Northeast England,en
Sometimes a river is said to be larger than a creek but this is not always the case due to vagueness in the language,en
 A river is part of the hydrological cycle,en
Water within a river is generally collected from precipitation through surface runoff groundwater recharge springs and the release of stored water in natural ice and snowpacks (ie from glaciers),en
A stream is a flowing body of water with a current confined within a bed and stream banks,en
In the United States a stream is classified as a watercourse less than  feet ( metres) wide,en
Streams are important as conduits in the water cycle instruments in groundwater recharge and they serve as corridors for fish and wildlife migration,en
The biological habitat in the immediate vicinity of a stream is called a riparian zone,en
Given the status of the ongoing Holocene extinction streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity,en
The study of streams and waterways in general involves many branches of interdisciplinary natural science and engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology and others,en
Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way,en
 The structure and composition is determined by various environmental factors that are interrelated,en
Variations of these factors will initiate dynamic modifications to the ecosystem,en
Some of the more important components are soil atmosphere radiation from the sun water and living organisms,en
Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment,en
Eugene Odum a founder of ecology stated Any unit that includes all of the organisms (ie the community) in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure biotic diversity and material cycles (ie,en
 exchange of materials between living and nonliving parts) within the system is an ecosystem,en
 Within the ecosystem species are connected and dependent upon one another in the food chain and exchange energy and matter between themselves as well as with their environment,en
 The human ecosystem concept is based on the humannature dichotomy and the idea that all species are ecologically dependent on each other as well as with the abiotic constituents of their biotope,en
 A smaller unit of size is called a microecosystem,en
For example a microsystem can be a stone and all the life under it,en
A macroecosystem might involve a whole ecoregion with its drainage basin,en
 Wilderness is generally defined as areas that have not been significantly modified by human activity,en
